[2026-04-23 11:25:35] === Oracle Database Workload Execution ===
[2026-04-23 11:25:35] Duration: 120 seconds
[2026-04-23 11:25:35] Target PDB: FREEPDB1
[2026-04-23 11:25:35] Batch size: 100
[2026-04-23 11:25:35] Workers: 4
[2026-04-23 11:25:35] Verifying database connection...
[2026-04-23 11:25:35] Database status: OPEN
[2026-04-23 11:25:35] PDB FREEPDB1 status: READ WRITE
[2026-04-23 11:25:35] Creating benchmark schema...
[2026-04-23 11:25:36] Benchmark schema created with 10,000 initial orders
[2026-04-23 11:25:36] Creating workload procedure...
[2026-04-23 11:25:37] Workload procedure created
[2026-04-23 11:25:37] Starting workload execution (120 seconds)...
Workload started at: 2026-04-23 11:25:37
Iteration 20800: Inserts=624000, Updates=416000, Selects=1040000, Elapsed=50s
Iteration 20900: Inserts=627000, Updates=418000, Selects=1045000, Elapsed=51s
Iteration 21000: Inserts=630000, Updates=420000, Selects=1050000, Elapsed=51s
Iteration 21100: Inserts=633000, Updates=422000, Selects=1055000, Elapsed=51s
Iteration 21200: Inserts=636000, Updates=424000, Selects=1060000, Elapsed=51s
Iteration 21300: Inserts=639000, Updates=426000, Selects=1065000, Elapsed=52s
Iteration 21400: Inserts=642000, Updates=428000, Selects=1070000, Elapsed=52s
Iteration 21500: Inserts=645000, Updates=430000, Selects=1075000, Elapsed=52s
Iteration 21600: Inserts=648000, Updates=432000, Selects=1080000, Elapsed=53s
Iteration 21700: Inserts=651000, Updates=434000, Selects=1085000, Elapsed=53s
Iteration 21800: Inserts=654000, Updates=436000, Selects=1090000, Elapsed=53s
Iteration 21900: Inserts=657000, Updates=438000, Selects=1095000, Elapsed=54s
Iteration 22000: Inserts=660000, Updates=440000, Selects=1100000, Elapsed=54s
Iteration 22100: Inserts=663000, Updates=442000, Selects=1105000, Elapsed=54s
Iteration 22200: Inserts=666000, Updates=444000, Selects=1110000, Elapsed=54s
Iteration 22300: Inserts=669000, Updates=446000, Selects=1115000, Elapsed=55s
Iteration 22400: Inserts=672000, Updates=448000, Selects=1120000, Elapsed=55s
Iteration 22500: Inserts=675000, Updates=450000, Selects=1125000, Elapsed=55s
Iteration 22600: Inserts=678000, Updates=452000, Selects=1130000, Elapsed=56s
Iteration 22700: Inserts=681000, Updates=454000, Selects=1135000, Elapsed=56s
Iteration 22800: Inserts=684000, Updates=456000, Selects=1140000, Elapsed=56s
Iteration 22900: Inserts=687000, Updates=458000, Selects=1145000, Elapsed=56s
Iteration 23000: Inserts=690000, Updates=460000, Selects=1150000, Elapsed=57s
Iteration 23100: Inserts=693000, Updates=462000, Selects=1155000, Elapsed=57s
Iteration 23200: Inserts=696000, Updates=464000, Selects=1160000, Elapsed=57s
Iteration 23300: Inserts=699000, Updates=466000, Selects=1165000, Elapsed=58s
Iteration 23400: Inserts=702000, Updates=468000, Selects=1170000, Elapsed=58s
Iteration 23500: Inserts=705000, Updates=470000, Selects=1175000, Elapsed=58s
Iteration 23600: Inserts=708000, Updates=472000, Selects=1180000, Elapsed=59s
Iteration 23700: Inserts=711000, Updates=474000, Selects=1185000, Elapsed=59s
Iteration 23800: Inserts=714000, Updates=476000, Selects=1190000, Elapsed=59s
Iteration 23900: Inserts=717000, Updates=478000, Selects=1195000, Elapsed=59s
Iteration 24000: Inserts=720000, Updates=480000, Selects=1200000, Elapsed=60s
Iteration 24100: Inserts=723000, Updates=482000, Selects=1205000, Elapsed=60s
Iteration 24200: Inserts=726000, Updates=484000, Selects=1210000, Elapsed=60s
Iteration 24300: Inserts=729000, Updates=486000, Selects=1215000, Elapsed=61s
Iteration 24400: Inserts=732000, Updates=488000, Selects=1220000, Elapsed=61s
Iteration 24500: Inserts=735000, Updates=490000, Selects=1225000, Elapsed=61s
Iteration 24600: Inserts=738000, Updates=492000, Selects=1230000, Elapsed=62s
Iteration 24700: Inserts=741000, Updates=494000, Selects=1235000, Elapsed=62s
Iteration 24800: Inserts=744000, Updates=496000, Selects=1240000, Elapsed=62s
Iteration 24900: Inserts=747000, Updates=498000, Selects=1245000, Elapsed=62s
Iteration 25000: Inserts=750000, Updates=500000, Selects=1250000, Elapsed=63s
Iteration 25100: Inserts=753000, Updates=502000, Selects=1255000, Elapsed=63s
Iteration 25200: Inserts=756000, Updates=504000, Selects=1260000, Elapsed=63s
